ID,lat,lon
107714,37.49865724051410,127.02442005830700
107673,37.498628037618700,127.02354114182100
107176,37.50169097165700,127.02387401192400
107177,37.5020239905955,127.0237204559330
106860,37.50243032572130,127.02424303819500
193993,37.49831465409820,127.02345499696500
193994,37.4983782670017,127.02368857178400
193995,37.49857905405000,127.02361488082700
194034,37.5004224137376,127.02515204876600
194035,37.50053277265180,127.0255894847960
71798,37.499939655051000,127.02696043366400
71822,37.502300000000000,127.02644000000000
71823,37.50205000000000,127.02697000000000
130148,37.501740000000000,127.02671000000000